"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"DENND4A"	0.000394603220866809	1.14386442133779	0.196	0.301	1	"0"	"DENND4A"
"DYNC1H1"	0.000396468021307023	0.510029897063227	0.311	0.431	1	"0"	"DYNC1H1"
"ARID2"	0.000399151008804905	0.256422115023184	0.345	0.47	1	"0"	"ARID2"
"AC004453.8"	0.000406869782628738	0.461914217285523	0.39	0.51	1	"0"	"AC004453.8"
"ADRM1"	0.000417731158149563	0.345396757387768	0.287	0.435	1	"0"	"ADRM1"
"NUTM2A-AS1"	0.000434264750335144	0.298960355654236	0.3	0.428	1	"0"	"NUTM2A-AS1"
"SCAMP3"	0.000446662170984187	0.270938985718425	0.219	0.334	1	"0"	"SCAMP3"
"ZFAND5"	0.000447319310783566	0.326857749293241	0.393	0.525	1	"0"	"ZFAND5"
"RBM6"	0.000448095043522653	0.972147994596416	0.684	0.678	1	"0"	"RBM6"
"SLC35A4"	0.000448597039460939	0.260949521566962	0.167	0.266	1	"0"	"SLC35A4"
"BTF3L4"	0.000468484766396425	0.384096392444334	0.196	0.299	1	"0"	"BTF3L4"
"TRIM13"	0.000477079912660804	0.698277217847176	0.205	0.311	1	"0"	"TRIM13"
"CHMP5"	0.000478089361419157	0.278812923909243	0.196	0.304	1	"0"	"CHMP5"
"NBPF12"	0.000480930466421947	0.629457656454769	0.282	0.391	1	"0"	"NBPF12"
"KAT6A"	0.000486223077479728	0.503804640904272	0.278	0.39	1	"0"	"KAT6A"
"AC120194.1"	0.000497414357078167	0.252502501862546	0.291	0.428	1	"0"	"AC120194.1"
"RAPGEF6"	0.000507533965313082	0.596477217827937	0.377	0.527	1	"0"	"RAPGEF6"
"IL32"	0.000508449999164022	0.330924035219571	0.93	0.951	1	"0"	"IL32"
"TSPAN14"	0.000513258589788084	0.258162502308117	0.492	0.643	1	"0"	"TSPAN14"
"GIMAP5"	0.000517938209650248	0.291450932424018	0.314	0.435	1	"0"	"GIMAP5"
"USP47"	0.00052014238116792	0.298296460849356	0.237	0.339	1	"0"	"USP47"
"RASSF3"	0.000528797119799633	0.535653783739908	0.232	0.343	1	"0"	"RASSF3"
"ZMYM6NB"	0.000536222060361749	0.31610250430845	0.162	0.263	1	"0"	"ZMYM6NB"
"ZNF207"	0.000559471313966693	0.294220288304182	0.478	0.645	1	"0"	"ZNF207"
"NBPF9"	0.000561264156017805	0.482337001602692	0.424	0.55	1	"0"	"NBPF9"
"ST6GALNAC6"	0.000568557641328382	0.53847112274099	0.302	0.433	1	"0"	"ST6GALNAC6"
"KDELR2"	0.000573298272201651	0.299192668252399	0.217	0.334	1	"0"	"KDELR2"
"DEK"	0.000575660484261598	0.33263623808767	0.329	0.471	1	"0"	"DEK"
"ZNF267"	0.000579562205585159	0.359113791979668	0.232	0.346	1	"0"	"ZNF267"
"TAOK3"	0.00059832987791186	0.31332006868333	0.25	0.357	1	"0"	"TAOK3"
"YME1L1"	0.000606999436019504	0.362496397137864	0.573	0.748	1	"0"	"YME1L1"
"KLF12"	0.000623151922798742	0.555527977554766	0.334	0.463	1	"0"	"KLF12"
"C1orf56"	0.000627769702466019	0.456161964669841	0.776	0.727	1	"0"	"C1orf56"
"TTN"	0.000648287112602587	1.50438983647345	0.47	0.388	1	"0"	"TTN"
"CTD-2636A23.2"	0.000667490296024438	0.33310215597795	0.16	0.252	1	"0"	"CTD-2636A23.2"
"NOL7"	0.000676625763123342	0.488522554114754	0.223	0.336	1	"0"	"NOL7"
"AC018720.10"	0.000696767765977225	0.816744856216721	0.641	0.649	1	"0"	"AC018720.10"
"MAP4K1"	0.000708071838881166	0.296491654369492	0.526	0.671	1	"0"	"MAP4K1"
"ROCK1"	0.000712085991296755	0.758171150695412	0.346	0.48	1	"0"	"ROCK1"
"NDUFS7"	0.000714509999686316	0.35161506042399	0.289	0.43	1	"0"	"NDUFS7"
"PPHLN1"	0.000717062666828845	0.338558590577382	0.282	0.391	1	"0"	"PPHLN1"
"RMND5A"	0.000742905583975024	0.557528871957047	0.18	0.268	1	"0"	"RMND5A"
"PSMB4"	0.00074601550441281	0.380727628187287	0.467	0.69	1	"0"	"PSMB4"
"AD000671.6"	0.000751047934392973	0.271606504088373	0.285	0.402	1	"0"	"AD000671.6"
"RPS11P5"	0.00075676096364363	1.33458778527353	0.203	0.311	1	"0"	"RPS11P5"
"SLC39A11"	0.000757131696117275	0.794461003719208	0.16	0.257	1	"0"	"SLC39A11"
"GTF2I"	0.000762856133974879	0.448270661487449	0.273	0.388	1	"0"	"GTF2I"
"TRAPPC2"	0.00076526957069563	0.473982398924218	0.251	0.37	1	"0"	"TRAPPC2"
"PRKCSH"	0.000766428143973272	0.310026813116261	0.366	0.483	1	"0"	"PRKCSH"
"RABGGTB"	0.000780028883294311	0.340459347713372	0.174	0.27	1	"0"	"RABGGTB"
"NR4A3"	0.000788249650788567	0.294093464670258	0.172	0.257	1	"0"	"NR4A3"
"DGUOK"	0.000795025821728695	0.326638718071095	0.242	0.363	1	"0"	"DGUOK"
"HP1BP3"	0.0008066170019414	0.253212421062889	0.406	0.523	1	"0"	"HP1BP3"
"AP1B1"	0.000808726235710847	0.458243098830033	0.185	0.282	1	"0"	"AP1B1"
"ZFP36L1"	0.000830525984975838	0.74535233258184	0.831	0.877	1	"0"	"ZFP36L1"
"SRP19"	0.000834812852232284	0.397250936142939	0.19	0.296	1	"0"	"SRP19"
"DDX50"	0.00083728088710773	0.260180714145919	0.174	0.264	1	"0"	"DDX50"
"CCDC97"	0.000865637915323262	0.394164431003185	0.178	0.27	1	"0"	"CCDC97"
"SRRM2"	0.000878877713683954	0.993117239683814	0.727	0.779	1	"0"	"SRRM2"
"ETFB"	0.000896023349753052	0.452231403007898	0.192	0.297	1	"0"	"ETFB"
"POLR2B"	0.000905581014567193	0.386581549297658	0.205	0.308	1	"0"	"POLR2B"
"SFPQ"	0.000906587525805322	0.382746314137863	0.438	0.579	1	"0"	"SFPQ"
"RGPD8"	0.000918766717723714	0.446457489721434	0.255	0.344	1	"0"	"RGPD8"
"TSTD1"	0.000940643602469115	0.269200003679931	0.223	0.339	1	"0"	"TSTD1"
"ATXN10"	0.000940953923247513	0.40070206663828	0.246	0.367	1	"0"	"ATXN10"
"NUDT5"	0.000954565906637767	0.297559523323063	0.266	0.384	1	"0"	"NUDT5"
"C6orf48"	0.000972854323906594	0.260111278838092	0.309	0.433	1	"0"	"C6orf48"
"KPNB1"	0.000993563846273391	0.808565752826842	0.388	0.497	1	"0"	"KPNB1"
"TGIF1"	0.00100929084290388	0.406642099458272	0.253	0.365	1	"0"	"TGIF1"
"PLEKHG2"	0.00101359398128658	0.36064998452818	0.318	0.44	1	"0"	"PLEKHG2"
"RCOR3"	0.00102130728613703	0.876701933278246	0.169	0.263	1	"0"	"RCOR3"
"HELZ"	0.00104637238398231	0.300172493357394	0.395	0.52	1	"0"	"HELZ"
"EIF3C"	0.0010474872645974	0.279021068444042	0.451	0.623	1	"0"	"EIF3C"
"BCAS3"	0.00104768384625424	0.528939886469182	0.163	0.25	1	"0"	"BCAS3"
"PPM1M"	0.00105303853786699	0.306671452279605	0.271	0.388	1	"0"	"PPM1M"
"HNRNPA0"	0.00105614643755737	0.432926109544804	0.192	0.292	1	"0"	"HNRNPA0"
"RP11-488L18.10"	0.00105886383219893	0.593520780791401	0.32	0.454	1	"0"	"RP11-488L18.10"
"NXF1"	0.0010740027136433	0.359532690092131	0.368	0.477	1	"0"	"NXF1"
"CDC42SE1"	0.0010749744513575	0.304270370068767	0.285	0.407	1	"0"	"CDC42SE1"
"SYNCRIP"	0.00108305869926089	0.314968503804396	0.248	0.353	1	"0"	"SYNCRIP"
"TMEM50A"	0.00110323211442641	0.276686173584366	0.404	0.551	1	"0"	"TMEM50A"
"EIF3D"	0.00110423324734337	0.37110354588982	0.388	0.558	1	"0"	"EIF3D"
"TKT"	0.00111165904039767	0.293427482357751	0.201	0.304	1	"0"	"TKT"
"NDUFAF3"	0.00114721420822565	0.318774555503767	0.212	0.325	1	"0"	"NDUFAF3"
"LAYN"	0.00116206642224789	1.23349268002567	0.262	0.191	1	"0"	"LAYN"
"PRPF6"	0.00117169190902784	0.533694581543193	0.282	0.388	1	"0"	"PRPF6"
"GPBP1L1"	0.00118800258109284	0.511883294093762	0.33	0.435	1	"0"	"GPBP1L1"
"GADD45B"	0.0012095824586852	0.328881671678433	0.215	0.311	1	"0"	"GADD45B"
"ANKHD1"	0.00127085831403958	0.387826791514286	0.366	0.508	1	"0"	"ANKHD1"
"ACLY"	0.00127403620181567	0.616954982030334	0.282	0.397	1	"0"	"ACLY"
"SYNE2"	0.0012747904046816	0.925881064261869	0.777	0.751	1	"0"	"SYNE2"
"MARS"	0.00129525428523684	0.414198438388256	0.266	0.362	1	"0"	"MARS"
"BSG"	0.00129979948599487	0.537787867091504	0.449	0.603	1	"0"	"BSG"
"CARHSP1"	0.00130496471978871	0.532465679712109	0.221	0.323	1	"0"	"CARHSP1"
"ARPC5L"	0.00130979091485543	0.319617981779537	0.228	0.322	1	"0"	"ARPC5L"
"SSR1"	0.00131684691406206	0.322733252906113	0.418	0.532	1	"0"	"SSR1"
"EIF2A"	0.00133864901863483	0.37080760201502	0.201	0.306	1	"0"	"EIF2A"
"SNX14"	0.00134923738524139	0.436788562042461	0.25	0.357	1	"0"	"SNX14"
"CLSTN3"	0.00136793127041915	0.903588170421642	0.219	0.311	1	"0"	"CLSTN3"
"AGPAT6"	0.00137709931085272	0.627295911440248	0.181	0.275	1	"0"	"AGPAT6"
"SNW1"	0.00137942770034892	0.466002385798662	0.212	0.317	1	"0"	"SNW1"
"OGDH"	0.00138781433120314	0.279491391310208	0.402	0.534	1	"0"	"OGDH"
"WDR82"	0.0013961110818801	0.630412237394736	0.185	0.271	1	"0"	"WDR82"
"RSF1"	0.00139616624389028	0.290052163905342	0.241	0.341	1	"0"	"RSF1"
"PHC1"	0.00141209330323817	0.445521883976639	0.28	0.381	1	"0"	"PHC1"
"FNBP1"	0.00141408503891653	0.518464242920047	0.521	0.675	1	"0"	"FNBP1"
"VPS35"	0.0014299967327858	0.411307406885594	0.171	0.252	1	"0"	"VPS35"
"CNTRL"	0.00144772993537084	0.456394166253135	0.312	0.416	1	"0"	"CNTRL"
"PRPF38B"	0.00144834072018352	0.494431964447188	0.425	0.544	1	"0"	"PRPF38B"
"SLC39A9"	0.00145248414980066	0.63506673252712	0.203	0.297	1	"0"	"SLC39A9"
"CSNK2B"	0.00148393329891376	0.271289392882448	0.357	0.527	1	"0"	"CSNK2B"
"RP11-571M6.7"	0.0014912781144547	0.293144655727383	0.233	0.329	1	"0"	"RP11-571M6.7"
"AP2M1"	0.00151058374795796	0.337986650777259	0.364	0.503	1	"0"	"AP2M1"
"MCCC2"	0.00154870044741945	0.433725311481224	0.174	0.263	1	"0"	"MCCC2"
"RBM12"	0.00156999878472397	0.611508674565284	0.303	0.445	1	"0"	"RBM12"
"DDX5"	0.00157893123516823	0.289643881756007	0.98	0.993	1	"0"	"DDX5"
"AC007969.5"	0.00159303159694495	0.291770907537645	0.404	0.51	1	"0"	"AC007969.5"
"USO1"	0.00162700306733348	0.501240205398643	0.189	0.283	1	"0"	"USO1"
"UQCR10"	0.00165830741191333	0.26733943912321	0.268	0.388	1	"0"	"UQCR10"
"HNRNPA3"	0.00167012045819176	0.342565843023095	0.467	0.616	1	"0"	"HNRNPA3"
"HAX1"	0.00169515651280588	0.327053719006202	0.181	0.278	1	"0"	"HAX1"
"WHSC1L1"	0.00170049711379398	0.581846569509908	0.425	0.567	1	"0"	"WHSC1L1"
"GANAB"	0.00170457203997621	0.38642880788276	0.316	0.43	1	"0"	"GANAB"
"AC005944.2"	0.00170744785921942	0.505085464201754	0.185	0.268	1	"0"	"AC005944.2"
"GPS1"	0.00170918757098457	0.387339742676584	0.187	0.289	1	"0"	"GPS1"
"SLC9A8"	0.00173533678696646	0.348920515409342	0.206	0.292	1	"0"	"SLC9A8"
"SLC9A9"	0.00173865899564617	0.540080036880887	0.183	0.275	1	"0"	"SLC9A9"
"CD63"	0.0017583713539762	0.316668946427182	0.19	0.292	1	"0"	"CD63"
"CTB-89H12.4"	0.00181838349576835	0.299228254750633	0.395	0.513	1	"0"	"CTB-89H12.4"
"PA2G4"	0.00182095477799671	0.353993021135802	0.341	0.445	1	"0"	"PA2G4"
"TMEM33"	0.00183117465479114	0.477667835150445	0.262	0.36	1	"0"	"TMEM33"
